review_text,aspect_triplets,new_triplets,reasoning
Cok rahat koltuklari var.,"[('koltuklari', 'AMBIENCE#GENERAL', 'positive')]","[['koltuklari', 'AMBIENCE#GENERAL', 'positive']]","Mevcut etiket doğru, ekleme veya çıkarma gerekmez."
Combo tabağı hayalleriyle gittik ve şaka gibi içinde iki üç parça olan çok lezzetsiz bir tabak geldi.,"[('tabak', 'FOOD#QUALITY', 'negative')]","[['tabak', 'FOOD#QUALITY', 'negative']]","Review directly states 'çok lezzetsiz bir tabak' (very tasteless plate), indicating negative food quality."
Cookshop diyince aklima ilk gelen Magnolia oluyor.,"[('Magnolia', 'FOOD#QUALITY', 'positive')]",[],Review'de duygu ifadesi yok; Magnolia'dan bahsediliyor ancak nitelik veya değerlendirme yok.
Cuma iş çıkışı arkadaşlarla takılmalık bir mekan.,"[('mekan', 'AMBIENCE#GENERAL', 'positive')]","[['mekan', 'AMBIENCE#GENERAL', 'positive']]",Mekanın 'takılmalık' olarak nitelenmesi olumlu bir izlenim verir.
Cumartesi olmasına rağmen sakindi.,"[('', 'AMBIENCE#GENERAL', 'positive')]","[['', 'AMBIENCE#GENERAL', 'positive']]",Quiet atmosphere on Saturday is positive for ambience
D Somon izgara ve etli quesadilla sipariz ettik.,"[('D Somon izgara', 'FOOD#QUALITY', 'neutral'), ('etli quesadilla', 'FOOD#QUALITY', 'neutral')]","[['D Somon izgara', 'FOOD#QUALITY', 'neutral'], ['etli quesadilla', 'FOOD#QUALITY', 'neutral']]","Review only states ordering, no sentiment expressed; neutral labels are correct."
Daha gülümseyen bir çalışan profili olmalı.,"[('çalışan profili', 'SERVICE#GENERAL', 'negative')]","[['çalışan profili', 'SERVICE#GENERAL', 'negative']]","Metin, çalışanların gülümsememesi nedeniyle olumsuz duygu belirtir."
Daha iyisi var.,"[('', 'RESTAURANT#GENERAL', 'negative')]","[['', 'RESTAURANT#GENERAL', 'negative']]","Genel olumsuz yorum, belirli bir husus yok."
Daha lezzetli bir ana yemek bekliyordum açıkçası.,"[('ana yemek', 'FOOD#QUALITY', 'negative')]","[['ana yemek', 'FOOD#QUALITY', 'negative']]","Beklenenden az lezzetli ana yemek, negative FOOD#QUALITY."
Daha mütevazı menu fiyatları olsa daha sık ziyaret edilebilir,"[('menu fiyatları', 'RESTAURANT#PRICES', 'negative')]","[['menu fiyatları', 'FOOD#PRICES', 'negative']]","Mevcut etiket RESTAURANT#PRICES yanlış; yiyecek fiyatı kast edilmiş, FOOD#PRICES olmalı."
Daha ne olsun =),"[('', 'RESTAURANT#GENERAL', 'positive')]","[['', 'RESTAURANT#GENERAL', 'positive']]","Phrase 'Daha ne olsun' implies overall satisfaction, supporting general positive sentiment."
Daha önce de söyledigim gibi büyüdükçe kalitesi düsen yerlerden,"[('kalitesi', 'RESTAURANT#GENERAL', 'negative')]","[['kalitesi', 'RESTAURANT#GENERAL', 'negative']]","Kalitenin düştüğü belirtilmiş, olumsuz."
Damak tadima hitap edemedi açikçasi.,"[('', 'FOOD#QUALITY', 'negative')]","[['', 'FOOD#QUALITY', 'negative']]",Review negatively implies food quality doesn't suit taste.
Degisik pide türleri caniniz çekiyorsa denenebilir.,"[('pide türleri', 'FOOD#STYLE_OPTIONS', 'positive')]","[['pide türleri', 'FOOD#QUALITY', 'positive']]","Çeşitlilik için olumlu öneri, kaliteye işaret ediyor."
Dekorasyon da bir o kadar güzel.,"[('Dekorasyon', 'AMBIENCE#GENERAL', 'positive')]","[['Dekorasyon', 'AMBIENCE#GENERAL', 'positive']]","Dekorasyon güzel olarak nitelendirilmiş, positive."
"Dekorasyon zevkli olmus, özellikle mekanin ortasina konuslanmis bonsai agaç beni benden aldi.","[('Dekorasyon', 'AMBIENCE#GENERAL', 'positive'), ('bonsai agaç', 'AMBIENCE#GENERAL', 'positive')]","[['Dekorasyon', 'AMBIENCE#GENERAL', 'positive'], ['bonsai agaç', 'AMBIENCE#GENERAL', 'positive']]",Both targets have clear positive evidence in the review; no missing or incorrect triplets.
Dekorasyonu cok hos.,"[('Dekorasyonu', 'AMBIENCE#GENERAL', 'positive')]","[['Dekorasyonu', 'AMBIENCE#GENERAL', 'positive']]","Dekorasyon olumlu, mevcut etiket doğru."
Dekorasyonu renkleri cok sicak ve sevimli.,"[('renkleri', 'AMBIENCE#GENERAL', 'positive'), ('Dekorasyonu', 'AMBIENCE#GENERAL', 'positive')]","[['Dekorasyonu', 'AMBIENCE#GENERAL', 'positive'], ['renkleri', 'AMBIENCE#GENERAL', 'positive']]",Review açıkça dekorasyon ve renklerin sıcak ve sevimli olduğunu belirtiyor.
"Denediklerimizden, Tavuk Schnitzel mükemmel, Tavuklu Wrap harikaydı!","[('Tavuklu Wrap', 'FOOD#QUALITY', 'positive'), ('Tavuk Schnitzel', 'FOOD#QUALITY', 'positive')]","[['Tavuk Schnitzel', 'FOOD#QUALITY', 'positive'], ['Tavuklu Wrap', 'FOOD#QUALITY', 'positive']]","Review praises both dishes as 'mükemmel' and 'harikaydı', confirming positive food quality."
Deniz mahsullü pizzası güzel değil.,"[('Deniz mahsullü pizzası', 'FOOD#QUALITY', 'negative')]","[['Deniz mahsullü pizzası', 'FOOD#QUALITY', 'negative']]","Sadece pizza kalitesi hakkında olumsuz yorum var, diğer aspect yok."
Deniz ürünleri çok başarılı.,"[('Deniz ürünleri', 'FOOD#QUALITY', 'positive')]","[['Deniz ürünleri', 'FOOD#QUALITY', 'positive']]",Review explicitly praises seafood quality.
Denize sifir hatta oyle ki gecen gemilerden dolayi olusan dalgalar sizi islatir mi acaba diye bir korkuya kapiliyorsunuz ;) kahve ic manzarayi yani bogazi seyret yetti de artti bile.,"[('manzarayi', 'AMBIENCE#GENERAL', 'positive')]","[['manzarayi', 'AMBIENCE#GENERAL', 'positive'], ['denize sıfır', 'AMBIENCE#GENERAL', 'positive']]",Denize sıfır konum ve manzara olumlu vurgulanmış.
Değişik tatları tatmak isteyenler için iyi bir alternatif.,"[('tatları', 'FOOD#STYLE_OPTIONS', 'positive')]","[['tatları', 'FOOD#STYLE_OPTIONS', 'positive'], ['', 'RESTAURANT#GENERAL', 'positive']]","Mevcut etiket doğru, ayrıca 'iyi bir alternatif' ifadesi restoran geneli için olumlu."
Diger yediklerimizide begendim hepsi güzellerdi.,"[('yediklerimizide', 'FOOD#QUALITY', 'positive')]","[['yediklerimizide', 'FOOD#QUALITY', 'positive']]",Review confirms food quality positive for all eaten items.
Dizaynı güzel.,"[('Dizaynı', 'AMBIENCE#GENERAL', 'positive')]","[['Dizaynı', 'AMBIENCE#GENERAL', 'positive']]",Mevcut etiket doğru; başka aspekt yok.
Diğer bütün tatlılarının kalitesi ve lezzeti üst seviyede.,"[('tatlılarının kalitesi ve lezzeti', 'FOOD#QUALITY', 'positive')]","[['tatlılarının kalitesi ve lezzeti', 'FOOD#QUALITY', 'positive']]","Açıkça tatlıların kalitesi ve lezzeti övülüyor, olumlu."
Diğer lezzetlerin tamamı standart.,"[('lezzetlerin', 'FOOD#QUALITY', 'neutral')]","[['lezzetler', 'FOOD#QUALITY', 'neutral']]",Standart ifadesi yemek kalitesini nötr olarak belirtiyor.
Diğer şubesinin efsaneleşen hikayelerinin ardından defalarca hep belirli sebeplerle geldiğimiz Eleos bence cidden abartılıyor.,"[('Eleos', 'RESTAURANT#GENERAL', 'negative')]","[['Eleos', 'RESTAURANT#GENERAL', 'negative']]",Eleos restoranının abartıldığı belirtiliyor.
Domates sosu malesef çok zayif kaldi ve pizzanin seviyesini düşürüyor.,"[('Domates sosu', 'FOOD#STYLE_OPTIONS', 'negative'), ('pizzanin', 'FOOD#QUALITY', 'negative')]","[['Domates sosu', 'FOOD#QUALITY', 'negative'], ['pizzanin', 'FOOD#QUALITY', 'negative']]","Domates sosu zayıf kalmış, pizza kalitesini düşürmüş; FOOD#STYLE_OPTIONS uygun değil."
Domates/salatalik sögüs beklemekten pörsümüstü.,"[('Domates/salatalik sögüs', 'FOOD#QUALITY', 'negative')]","[['Domates/salatalik sögüs', 'FOOD#QUALITY', 'negative']]",Mevcut etiket doğru; pörsümüş olması olumsuz kaliteyi gösteriyor.
"Dostlarinizla birlikte gürültüden uzak, bir seyler içme düsüncesindeyseniz birbirinizin sesini rahatlikla duyabileceginiz mükemmel bir yer Limonlu Bahçe.","[('yer', 'AMBIENCE#GENERAL', 'positive')]","[['yer', 'AMBIENCE#GENERAL', 'positive']]",Mevcut etiket doğru; metin gürültüsüz ortamı ve sohbet rahatlığını över.
Durmazsanız bir saat içinde yaklaşık 10 kase falan yiyebilirsiniz.,"[('yiyebilirsiniz', 'FOOD#STYLE_OPTIONS', 'positive')]","[['', 'FOOD#QUALITY', 'positive']]","Review implies eating 10 bowls quickly suggests tasty food, positive sentiment."
Duyduğum kadarıyla suda değil sütte bekletiyorlarmış.,"[('bekletiyorlarmış', 'FOOD#STYLE_OPTIONS', 'neutral')]","[['bekletiyorlarmış', 'FOOD#QUALITY', 'neutral']]","Hearsay about preparation method, neutral sentiment, no explicit quality judgment."
Döner güzel ok ama giderek daha kalabalik hale hatta sisen restoranda omuz omuza kolunuzu kipirdatamadan feci bir gürültü içinde yemek yemek zorunda kaliyorsunuz.,"[('restoranda', 'AMBIENCE#GENERAL', 'negative'), ('Döner', 'FOOD#QUALITY', 'positive')]","[['Döner', 'FOOD#QUALITY', 'positive'], ['restoran', 'AMBIENCE#GENERAL', 'negative']]","Döner olumlu; kalabalık, gürültü restoran ambiyansını olumsuz kılar."
Döneri çok beni sarmadı.,"[('Döneri', 'FOOD#QUALITY', 'negative')]","[['Döneri', 'FOOD#QUALITY', 'negative']]","Mevcut etiket doğru, başka aspekt yok."
"Dönerin yanındaki patates, salata bile süper.","[('patates, salata', 'FOOD#QUALITY', 'positive')]","[['patates, salata', 'FOOD#QUALITY', 'positive']]","Review praises the quality of patates and salata, positive sentiment."
Dün ailece essiz lezzetleri tatdigimiz Mabeyn deydik.,"[('lezzetleri', 'FOOD#QUALITY', 'positive')]","[['lezzetleri', 'FOOD#QUALITY', 'positive']]",essiz lezzetleri clearly indicates positive food quality.
Düsen kalite - Eskiden ne çok severdim patlicanli güveç kebabini...,"[('kalite', 'RESTAURANT#GENERAL', 'negative')]","[['patlicanlı güveç kebabı', 'FOOD#QUALITY', 'negative']]",Declining quality is directly attributed to the dish.
"Dışarıda yer vermiyorlar, içerisi boşken yerimiz yok diyorlar, Öğlen 12'den biraz önce gidince daha açılmadık diyorlar vb...","[('diyorlar', 'SERVICE#GENERAL', 'negative')]","[['Dışarıda yer vermiyorlar', 'SERVICE#GENERAL', 'negative'], ['içerisi boşken yerimiz yok diyorlar', 'SERVICE#GENERAL', 'negative'], [""Öğlen 12'den biraz önce gidince daha açılmadık diyorlar"", 'SERVICE#GENERAL', 'negative']]","Üç farklı hizmet hatası belirtilmiş: dışarıda oturma yok, boş yer söylenmemesi, açılış saati sorunu."
E5 üstünde olduğu için çabuk direksiyon kırılıp az vakitte çok oturmalık kolaylığı için tercih ettik.,"[('E5 üstünde', 'LOCATION#GENERAL', 'positive')]","[['E5 üstünde', 'LOCATION#GENERAL', 'positive']]","Single aspect: location convenience on E5 highway, positive sentiment due to easy access."
Eger gidecekseniz özellikle mekanin üst katlarinda olmasini isteyin.,"[('mekanin üst katlarinda', 'AMBIENCE#GENERAL', 'neutral')]","[['mekanin üst katlarinda', 'AMBIENCE#GENERAL', 'positive']]","""Özellikle"" vurgusu üst katların olumlu olduğunu ima eder."
Egzotik çayları seviyorsanız mutlaka uğramanız gereken bir mekan.,"[('çayları', 'DRINKS#STYLE_OPTIONS', 'positive')]","[['çayları', 'DRINKS#QUALITY', 'positive']]","Exotic teas imply high quality, so aspect should be quality, not style options."
En azından adlarıyla özdeşleşmiş tatlılarına özen göstermelerini beklerdim.,"[('tatlılarına', 'FOOD#QUALITY', 'negative')]","[['tatlılarına', 'FOOD#QUALITY', 'negative']]","Mevcut etiket doğru, başka aspect yok."
En iyi konumlu ögretmenevi!,"[('konumlu', 'LOCATION#GENERAL', 'positive')]","[['konumlu', 'LOCATION#GENERAL', 'positive']]",Mevcut etiket doğru; 'konumlu' lokasyonu ve olumlu duyguyu yansıtıyor.
En nihayetinde kuru fasulyeci ancak ortam daha zevkli hale getirilebilir.,"[('ortam', 'AMBIENCE#GENERAL', 'negative')]","[['ortam', 'AMBIENCE#GENERAL', 'negative']]","Ortamın iyileştirilebileceği belirtilmiş, olumsuz."
En son kabalık bir grup halinde gittiğimizde siparişlerde karışıklık olmuştu malesef.,"[('siparişlerde', 'SERVICE#GENERAL', 'negative')]","[['siparişlerde', 'SERVICE#GENERAL', 'negative']]","Siparişlerde karışıklık, servis kalitesiyle ilgili olumsuz."
En son soyledigimiz firinda makarnasi da kuru geldikten sonra bir daha siparis vermemeye karar verdik.,"[('firinda makarnasi', 'FOOD#QUALITY', 'negative')]","[['firinda makarnasi', 'FOOD#QUALITY', 'negative']]","firinda makarnasi kuru geldi, olumsuz."
En önemli özelliği olan döneri hariç geri kalan her şey iyiydi.,"[('döneri', 'FOOD#QUALITY', 'negative'), ('her şey', 'RESTAURANT#GENERAL', 'positive')]","[['döneri', 'FOOD#QUALITY', 'negative'], ['her şey', 'RESTAURANT#GENERAL', 'positive']]","Döner negative, rest positive; labels correct."
"English pub tarzında dekorasyona sahip, bira çeşitliliği fazla olan tarz bir mekan.","[('dekorasyona', 'AMBIENCE#GENERAL', 'positive'), ('mekan', 'AMBIENCE#GENERAL', 'positive'), ('bira', 'DRINKS#STYLE_OPTIONS', 'positive')]","[['dekorasyona', 'AMBIENCE#GENERAL', 'positive'], ['mekan', 'AMBIENCE#GENERAL', 'positive'], ['bira çeşitliliği', 'DRINKS#QUALITY', 'positive']]","Dekorasyon ve bira çeşitliliği olumlu, mekan genel beğeni."
Esas konumuz olan yemeklere gelince çok pozitif olamaycağım.,"[('yemeklere', 'FOOD#QUALITY', 'negative')]","[['yemeklere', 'FOOD#QUALITY', 'negative']]",Review indicates negative sentiment towards food quality.
Eski kalitesinde olmasada hala iyi diyelim talep çok olunca ister istemez kalite ve servis vasata düşüyor etleri kenfi çiftliklerinden otopark sorun fiatlar normal,"[('servis', 'SERVICE#GENERAL', 'neutral'), ('otopark', 'SERVICE#GENERAL', 'negative'), ('fiatlar', 'RESTAURANT#PRICES', 'neutral'), ('kalite', 'RESTAURANT#GENERAL', 'neutral')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Eski performansini ariyoruz - Baslarda müptelasi oldugum ama son zamanlarda kalitesi oldukça düsen bir mekan.,"[('mekan', 'RESTAURANT#GENERAL', 'negative')]","[['mekan', 'RESTAURANT#GENERAL', 'negative']]","Review states quality has dropped significantly, indicating negative sentiment for the restaurant overall."
Eski zamanlar biraktigimiz gerçek yogurdun tadini yakalayacaksiniz.,"[('yogurdun', 'FOOD#QUALITY', 'positive')]","[['gerçek yogurdun', 'FOOD#QUALITY', 'positive']]","Metinde yoğurdun tadı övülüyor, olumlu ifade var."
Eski çalışanları daha iyi ve samimiydi diye düşünüyorum.,"[('çalışanları', 'SERVICE#GENERAL', 'negative')]","[['çalışanları', 'SERVICE#GENERAL', 'negative']]","Review implies current employees are worse than old ones, negative sentiment for service aspect."
Eskiden mekan daha ufak sınırlı sayıda müşteriye hizmet eden ama kalitesini bozmayan bir yerdi.,"[('yerdi', 'RESTAURANT#GENERAL', 'negative')]","[['kalitesini', 'FOOD#QUALITY', 'positive']]","Eskiden kalitesini bozmadığı belirtiliyor, olumlu. 'yerdi' negatif etiketi metinle desteklenmiyor."
Eskiye nazaran kalitesi oldukça düşük.,"[('kalitesi', 'RESTAURANT#GENERAL', 'negative')]","[['kalitesi', 'RESTAURANT#GENERAL', 'negative']]","Tek cümlelik yorumda kalite düşüklüğünden bahsediliyor, başka aspect yok."
Esnaf lokantasi na göre fiyatları pahali ve kredi kartı geçmiyor.,"[('fiyatları', 'RESTAURANT#PRICES', 'negative'), ('kredi kartı', 'SERVICE#GENERAL', 'negative')]","[['fiyatları', 'RESTAURANT#PRICES', 'negative'], ['kredi kartı', 'SERVICE#GENERAL', 'negative']]","Fiyatlar esnaf lokantasına göre pahalı, kredi kartı geçmiyor; her ikisi de olumsuz."
Eti kotuydu net ama geri kalan urunleri fena sayilmazdi.,"[('urunleri', 'FOOD#QUALITY', 'neutral'), ('Eti', 'FOOD#QUALITY', 'negative')]",[],JSON_ERROR: Expecting value: line 3 column 15 (char 115)
"Eti lezzetli, mekan gösterişli.","[('mekan', 'AMBIENCE#GENERAL', 'positive'), ('Eti', 'FOOD#QUALITY', 'positive')]","[['mekan', 'AMBIENCE#GENERAL', 'positive'], ['Eti', 'FOOD#QUALITY', 'positive']]","Mevcut etiketler doğru, ekleme veya düzeltme gerekmez."
"Eti yagli , kokuyor, ince dilinmis ve en kotusu aradan 3 saat gecmesine ragmen migdem bulaniyor.","[('Eti', 'FOOD#QUALITY', 'negative'), ('Eti', 'FOOD#STYLE_OPTIONS', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Etine eyvallah fakat fiyat konusunda çok uçuklar.,"[('fiyat', 'RESTAURANT#PRICES', 'negative'), ('Etine', 'FOOD#QUALITY', 'positive')]",[],JSON_ERROR: Unterminated string starting at: line 4 column 6 (char 70)
"Etler , meze, salata ve patates kizartmasi da size kesinlikle aksini dusundurmuyor.","[('Etler , meze, salata', 'FOOD#QUALITY', 'positive'), ('patates kizartmasi', 'FOOD#QUALITY', 'positive')]","[['Etler , meze, salata', 'FOOD#QUALITY', 'positive'], ['patates kizartmasi', 'FOOD#QUALITY', 'positive']]",Review confirms positive quality for all listed food items.
"Etler güzel, eti az ama öz pişiren nadir yerlerden:","[('Etler', 'FOOD#QUALITY', 'positive')]","[['Etler', 'FOOD#QUALITY', 'positive'], ['eti az ama öz pişirme', 'FOOD#QUALITY', 'positive']]","İlk kısım etlerin güzel olduğunu, ikinci kısım pişirme tarzını över; ikisi de FOOD#QUALITY pozitif."
Etler kalitesi ortalama.,"[('Etler', 'FOOD#QUALITY', 'neutral')]","[['Etler', 'FOOD#QUALITY', 'neutral']]","Etlerin kalitesi ortalama olarak belirtilmiş, duygu nötr."
Etleri mezeleri basarili ama porsiyonlar inanilmaz buyuk.,"[('Etleri mezeleri', 'FOOD#QUALITY', 'positive'), ('porsiyonlar', 'FOOD#STYLE_OPTIONS', 'neutral')]","[['Etleri mezeleri', 'FOOD#QUALITY', 'positive'], ['porsiyonlar', 'FOOD#QUALITY', 'neutral']]","Etler ve mezeler olumlu, porsiyonlar büyük belirtilmiş ama duygu belirtilmemiş; nötr."
Etli quesadillanin ise ozellikle eti cok guzeldi.,"[('Etli quesadillanin', 'FOOD#QUALITY', 'positive')]","[['Etli quesadillanin', 'FOOD#QUALITY', 'positive']]","Review praises eti (meat) of quesadilla as very good, positive FOOD#QUALITY. Current label is correct."
Etrafta kaotik bir hareketlilik yasanmasi yediginizden keyif almanizi zorlastiriyor.,"[('Etrafta', 'AMBIENCE#GENERAL', 'negative')]","[['Etrafta', 'AMBIENCE#GENERAL', 'negative']]",Kaotik hareketlilik ambiyansı olumsuz etkiliyor.
Ev yemekleri hergün farkli - Tipki anne eli degmis gibi lezzetli ev yemekleri...,"[('ev yemekleri', 'FOOD#QUALITY', 'positive'), ('Ev yemekleri', 'FOOD#STYLE_OPTIONS', 'positive')]","[['Ev yemekleri', 'FOOD#QUALITY', 'positive'], ['ev yemekleri', 'FOOD#STYLE_OPTIONS', 'positive']]","Metin lezzet ve çeşitliliği olumlu ifade ediyor, her iki triplet de geçerli."
Ev yemeklerini hakettiğinden pahalıya sattıklarını düşünüyorum.,"[('Ev yemeklerini', 'FOOD#PRICES', 'negative')]","[['Ev yemeklerini', 'FOOD#PRICES', 'negative']]",Single aspect: food price negative sentiment. Correct as is.
Ev yemeği yemek isteyenler için ideal bur mekan tek bir şartla ne yiyecegini bilmen lazım çünkü hersey cok lezzetli degil.,"[('Ev yemeği', 'FOOD#QUALITY', 'positive'), ('hersey', 'FOOD#QUALITY', 'negative')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Evde de aynısını bir aşçı adayı olarak yapsam bile Nusret'inki farklı.,"[(""Nusret'inki"", 'FOOD#QUALITY', 'positive')]","[[""Nusret'inki"", 'FOOD#QUALITY', 'positive']]","İfade, Nusret'in yemeğinin ev yapımından farklı ve üstün olduğunu ima ediyor, bu da olumlu."
Evet yemekler lezzetli ortam guzel fakat hafta sonu gittigimiz icin midir bilmemm cok kalabalikti.,"[('ortam', 'AMBIENCE#GENERAL', 'positive'), ('yemekler', 'FOOD#QUALITY', 'positive')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Ezogelin çorba çok tuzluydu.,"[('Ezogelin çorba', 'FOOD#QUALITY', 'negative')]","[['Ezogelin çorba', 'FOOD#QUALITY', 'negative']]","Saltiness indicates negative food quality, no other aspects."
Eğer sabırlıysanız ve denize biraz daha yakın olayım diyorsanız iyi şanslar ne kadar bekleyeceğiniz bir muamma.,"[('', 'RESTAURANT#GENERAL', 'neutral')]","[['bekleme süresi', 'SERVICE#GENERAL', 'negative']]","Bekleme süresinin belirsizliğine vurgu yapılıyor, olumsuz."
Fakat benim çok yakinimda olmasina ragmen çok sik gitmeyi tercih etmiyorum.,"[('', 'RESTAURANT#GENERAL', 'neutral')]","[['', 'RESTAURANT#GENERAL', 'negative']]","Metinde restorana sık gitmeme tercihi var, bu genel olumsuzluk ifadesi."
Fakat son iki gidişimde çok pahalanmış buldum.,"[('pahalanmış', 'RESTAURANT#PRICES', 'negative')]","[['pahalanmış', 'RESTAURANT#PRICES', 'negative']]","Yorumdaki 'pahalanmış' restoran fiyatlarının arttığını belirtir, negatif."
Fakat yemekleri baya standart hatta bazıları bi hayli kotu...,"[('yemekleri', 'FOOD#QUALITY', 'negative')]","[['yemekleri', 'FOOD#QUALITY', 'negative']]","Yemekler standart ve bazıları kötü, genel olumsuzluk."
"Fasulyesi ağızda dağılıyor adeta, lokum gibi.","[('Fasulyesi', 'FOOD#QUALITY', 'positive')]","[['Fasulyesi', 'FOOD#QUALITY', 'positive']]","Mevcut etiket doğru, fasulyenin kalitesi övülüyor, 'lokum gibi' benzetmesi olumlu."
Fena değil ama menemen için fiyat yüksek.,"[('menemen', 'FOOD#QUALITY', 'neutral'), ('fiyat', 'FOOD#PRICES', 'negative')]","[['menemen', 'FOOD#QUALITY', 'neutral'], ['menemen', 'FOOD#PRICES', 'negative']]","Fena değil implies neutral quality; price for menemen is high, negative."
Ferah bir ortamı var ve kalabalık buluşmalar için de uygun bir yer.,"[('yer', 'AMBIENCE#GENERAL', 'positive'), ('ortamı', 'AMBIENCE#GENERAL', 'positive')]","[['ortamı', 'AMBIENCE#GENERAL', 'positive'], ['yer', 'AMBIENCE#GENERAL', 'positive']]",Metinde ferah ortam ve kalabalık buluşmalar için uygunluk belirtilmiş; her iki ifade de atmosferi olumlu anlatıyor.
Fethipaşa korusunun içinde bulunan manzarasına göre uygun fiyata sahip salaş şık aileye uygun bir mekan.,"[('fiyata', 'RESTAURANT#PRICES', 'positive'), ('bulunan', 'LOCATION#GENERAL', 'neutral'), ('manzarasına', 'AMBIENCE#GENERAL', 'positive')]",[],JSON_ERROR: Expecting value: line 1 column 1 (char 0)
Finali sütlaçla yapmanızı tavsiye ediyorum.,"[('sütlaçla', 'FOOD#QUALITY', 'positive')]","[['sütlaçla', 'FOOD#QUALITY', 'positive']]",Tavsiye ifadesi sütlaç için pozitif kalite algısı belirtiyor.
Fiyat biraz fazla gibi.,"[('Fiyat', 'RESTAURANT#PRICES', 'negative')]","[['Fiyat', 'RESTAURANT#PRICES', 'negative']]","Sadece fiyatın yüksek olduğu belirtilmiş, negatif."
Fiyat olarak gayet mantikli bir isletme.,"[('Fiyat', 'RESTAURANT#PRICES', 'positive')]","[['Fiyat', 'RESTAURANT#PRICES', 'positive']]",Review only discusses restaurant prices positively; existing label is correct.
"Fiyat yüksek, kart geçmiyor...","[('Fiyat', 'RESTAURANT#PRICES', 'negative')]","[['Fiyat', 'RESTAURANT#PRICES', 'negative'], ['kart', 'SERVICE#GENERAL', 'negative']]","Fiyat yüksek (olumsuz fiyat), kart geçmiyor (ödeme sorunu)."
Fiyat/Performans olarak gidilebilecek mekanlardan birisi Uzunlar Kebap.,"[('Uzunlar Kebap', 'RESTAURANT#GENERAL', 'positive'), ('Fiyat', 'RESTAURANT#PRICES', 'positive')]","[['Uzunlar Kebap', 'RESTAURANT#GENERAL', 'positive'], ['Fiyat', 'RESTAURANT#PRICES', 'positive']]",Review indicates positive overall and good price-performance.
Fiyati da saka gibi.,"[('Fiyati', 'FOOD#PRICES', 'neutral')]","[['Fiyati', 'FOOD#PRICES', 'negative']]","saka gibi ifadesi fiyatın olumsuz olduğunu belirtir, mevcut nötr etiket yanlış"
Fiyatlar da cok pahali degil ortalama duruyordu,"[('Fiyatlar', 'RESTAURANT#PRICES', 'neutral')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'neutral']]","Review states prices are average, not expensive, so neutral sentiment for restaurant prices."
"Fiyatlar da gayet uygun, ortalamanın altında.","[('Fiyatlar', 'RESTAURANT#PRICES', 'positive')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'positive']]",Explicit mention of prices being affordable and below average indicates positive sentiment.
Fiyatlar gayet uygun.,"[('Fiyatlar', 'RESTAURANT#PRICES', 'positive'), ('Fiyatlar', 'RESTAURANT#PRICES', 'positive')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'positive']]","Review states prices are affordable, indicating positive sentiment."
Fiyatlar gerçekten bir tık üstte ama manzara gözümü her defasında kör ediyor ve görmezden gelebiliyorum.,"[('manzara', 'AMBIENCE#GENERAL', 'positive'), ('Fiyatlar', 'RESTAURANT#PRICES', 'negative')]","[['manzara', 'AMBIENCE#GENERAL', 'positive'], ['Fiyatlar', 'RESTAURANT#PRICES', 'negative']]","Fiyatlar yüksek (negative), manzara güzel (positive), doğru etiketler."
"Fiyatlar ise sunulan hizmet, kalite ve merkezi konumundan dolayi uygun sayilir.","[('Fiyatlar', 'RESTAURANT#PRICES', 'positive'), ('konumundan', 'LOCATION#GENERAL', 'positive'), ('hizmet', 'SERVICE#GENERAL', 'positive')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'positive'], ['hizmet', 'SERVICE#GENERAL', 'positive'], ['kalite', 'FOOD#QUALITY', 'positive'], ['konum', 'LOCATION#GENERAL', 'positive']]","Review states prices are reasonable due to service, quality, and central location; all positive."
"Fiyatlar normal, servis cok yavaş, tuvaletler ise pis.","[('servis', 'SERVICE#GENERAL', 'negative'), ('Fiyatlar', 'RESTAURANT#PRICES', 'neutral'), ('tuvaletler', 'AMBIENCE#GENERAL', 'negative')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'neutral'], ['servis', 'SERVICE#GENERAL', 'negative'], ['tuvaletler', 'AMBIENCE#GENERAL', 'negative']]","All aspects correctly labeled from review: prices neutral, service negative, toilets negative."
Fiyatlar orta ile yüksek arasi.,"[('Fiyatlar', 'RESTAURANT#PRICES', 'negative')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'neutral']]","Metin fiyat aralığını orta-yüksek olarak belirtiyor, olumlu ya da olumsuz değil."
Fiyatlar ortalama meyhane fiyatlarının üzerinde.,"[('Fiyatlar', 'RESTAURANT#PRICES', 'neutral')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'negative']]",Mevcut etiket 'neutral' hatalı; 'üzerinde' ifadesi olumsuzluk belirtir.
Fiyatlar ortalamanın biraz ustunde malesef.,"[('Fiyatlar', 'RESTAURANT#PRICES', 'negative')]","[['Fiyatlar', 'RESTAURANT#PRICES', 'negative']]","Fiyatlar ortalamanın üstünde, negatif yorum. Doğru etiket."
